Unnamed: 0,title,release_year,locations,director,writer,imdb_rating,genres,type,release_decade,longitude,latitude,min_distance_to_tourist_spot,is_tourist_spot,location_cluster,search_key
250.0,The Last Thing He Told Me (Season 1),2023.0,"Ferry Building, San Francisco","Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,6.5,Drama  Mystery  Thriller,tv series,2020.0,-122.393945,37.795319996,165.62525728618908,1,101.0,"the last thing he told me (season 1) 2023.0 ferry building, san francisco olivia newman, deniz gamze ergüven, daisy von scherler mayer,
lila neugebauer laura dave drama  mystery  thriller 2020.0"
975.0,The Last Thing He Told Me (Season 1),2023.0,Oracle Park,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,6.5,Drama  Mystery  Thriller,tv series,2020.0,-122.38951,37.77849,128.162085581934,1,27.0,"the last thing he told me (season 1) 2023.0 oracle park olivia newman, deniz gamze ergüven, daisy von scherler mayer,
lila neugebauer laura dave drama  mystery  thriller 2020.0"
1560.0,The Last Thing He Told Me (Season 1),2023.0,Chestnust Street at Steiner,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,6.5,Drama  Mystery  Thriller,tv series,2020.0,-122.437929959,37.800599988,694.8117732790239,1,44.0,"the last thing he told me (season 1) 2023.0 chestnust street at steiner olivia newman, deniz gamze ergüven, daisy von scherler mayer,
lila neugebauer laura dave drama  mystery  thriller 2020.0"
631.0,The Last Thing He Told Me (Season 1),2023.0,"168 2nd Street, Blue Bottle Coffee","Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,6.5,Drama  Mystery  Thriller,tv series,2020.0,-122.398886,37.786999,365.91763890039147,1,70.0,"the last thing he told me (season 1) 2023.0 168 2nd street, blue bottle coffee olivia newman, deniz gamze ergüven, daisy von scherler mayer,
lila neugebauer laura dave drama  mystery  thriller 2020.0"
150.0,The Last Thing He Told Me (Season 1),2023.0,2698 Pacific Avenue,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,6.5,Drama  Mystery  Thriller,tv series,2020.0,-122.439501985,37.79299999,296.6322755086581,1,53.0,"the last thing he told me (season 1) 2023.0 2698 pacific avenue olivia newman, deniz gamze ergüven, daisy von scherler mayer,
lila neugebauer laura dave drama  mystery  thriller 2020.0"
397.0,I’m A Virgo,2023.0,Kearny Street between Clay and Washington,Boots Riley,Boots Riley,7.1,Comedy  Drama  Fantasy,tv series,2020.0,-122.404959995,37.795329992,174.9236711250627,1,11.0,i’m a virgo 2023.0 kearny street between clay and washington boots riley boots riley comedy  drama  fantasy 2020.0
1765.0,I’m A Virgo,2023.0,"Fairmont Hotel, 950 Mason Street",Boots Riley,Boots Riley,7.1,Comedy  Drama  Fantasy,tv series,2020.0,-122.41075,37.79232,68.14747918717416,1,36.0,"i’m a virgo 2023.0 fairmont hotel, 950 mason street boots riley boots riley comedy  drama  fantasy 2020.0"
181.0,I’m A Virgo,2023.0,Portsmouth Square Park,Boots Riley,Boots Riley,7.1,Comedy  Drama  Fantasy,tv series,2020.0,-122.40571,37.79479,242.52198276816415,1,11.0,i’m a virgo 2023.0 portsmouth square park boots riley boots riley comedy  drama  fantasy 2020.0
533.0,I’m A Virgo,2023.0,Columbus Avenue between Pacifiic and Jackson,Boots Riley,Boots Riley,7.1,Comedy  Drama  Fantasy,tv series,2020.0,-122.397389963,37.798139983,273.16051923803656,1,67.0,i’m a virgo 2023.0 columbus avenue between pacifiic and jackson boots riley boots riley comedy  drama  fantasy 2020.0
1355.0,I’m A Virgo,2023.0,"Vallejo Street Garage, 766 Vallejo Garage",Boots Riley,Boots Riley,7.1,Comedy  Drama  Fantasy,tv series,2020.0,-122.40986,37.79847,216.03856288614628,1,52.0,"i’m a virgo 2023.0 vallejo street garage, 766 vallejo garage boots riley boots riley comedy  drama  fantasy 2020.0"
